CountryName,Date,StringencyIndexForDisplay
Afghanistan,20200328,71.43
Afghanistan,20200329,71.43
Afghanistan,20200330,71.43
Afghanistan,20200331,71.43
Afghanistan,20200401,71.43
Afghanistan,20200402,71.43
Afghanistan,20200403,71.43
Afghanistan,20200404,71.43
Afghanistan,20200405,71.43
Afghanistan,20200406,71.43
Afghanistan,20200407,71.43
Afghanistan,20200408,71.43
Afghanistan,20200409,71.43
Afghanistan,20200410,71.43
Afghanistan,20200411,71.43
Afghanistan,20200412,71.43
Afghanistan,20200413,71.43
Afghanistan,20200414,71.43
Afghanistan,20200415,71.43
Afghanistan,20200416,71.43
Afghanistan,20200417,71.43
Afghanistan,20200418,71.43
Afghanistan,20200419,71.43
Afghanistan,20200420,71.43
Afghanistan,20200421,71.43
Afghanistan,20200422,71.43
Afghanistan,20200423,71.43
Afghanistan,20200424,71.43
Angola,20200101,0.0
Angola,20200102,0.0
Angola,20200103,0.0
Angola,20200104,0.0
Angola,20200105,0.0
Angola,20200106,0.0
Angola,20200107,0.0
Angola,20200108,0.0
Angola,20200109,0.0
Angola,20200110,0.0
Angola,20200111,0.0
Angola,20200112,0.0
Angola,20200113,0.0
Angola,20200114,0.0
Angola,20200115,0.0
Angola,20200116,0.0
Angola,20200117,0.0
Angola,20200118,0.0
Angola,20200119,0.0
Angola,20200120,0.0
Angola,20200121,0.0
Angola,20200122,0.0
Angola,20200123,0.0
Angola,20200124,0.0
Angola,20200125,0.0
Angola,20200126,0.0
Angola,20200127,0.0
Angola,20200128,0.0
Angola,20200129,0.0
Angola,20200130,0.0
Angola,20200131,0.0
Angola,20200201,0.0
Angola,20200202,0.0
Angola,20200203,0.0
Angola,20200204,0.0
Angola,20200205,0.0
Angola,20200206,9.52
Angola,20200207,9.52
Angola,20200208,9.52
Angola,20200209,9.52
Angola,20200210,9.52
Angola,20200211,9.52
Angola,20200212,9.52
Angola,20200213,9.52
Angola,20200214,9.52
Angola,20200215,9.52
Angola,20200216,9.52
Angola,20200217,9.52
Angola,20200218,9.52
Angola,20200219,9.52
Angola,20200220,9.52
Angola,20200221,9.52
Angola,20200222,9.52
Angola,20200223,9.52
Angola,20200224,9.52
Angola,20200225,9.52
Angola,20200226,9.52
Angola,20200227,9.52
Angola,20200228,9.52
Angola,20200229,9.52
Angola,20200301,14.29
Angola,20200302,14.29
Angola,20200303,14.29
Angola,20200304,14.29
Angola,20200305,14.29
Angola,20200306,14.29
Angola,20200307,14.29
Angola,20200308,14.29
Angola,20200309,14.29
Angola,20200310,14.29
Angola,20200311,14.29
Angola,20200312,14.29
Angola,20200313,14.29
Angola,20200314,14.29
Angola,20200315,14.29
Angola,20200316,14.29
Angola,20200317,14.29
Angola,20200318,14.29
Angola,20200319,14.29
Angola,20200320,14.29
Angola,20200321,14.29
Angola,20200322,14.29
Angola,20200323,14.29
Angola,20200324,47.62
Angola,20200325,52.38
Angola,20200326,52.38
Angola,20200327,71.43
Angola,20200328,71.43
Angola,20200329,71.43
Angola,20200330,71.43
Angola,20200331,71.43
Angola,20200401,71.43
Angola,20200402,71.43
Angola,20200403,71.43
Angola,20200404,71.43
Angola,20200405,71.43
Angola,20200406,71.43
Angola,20200407,71.43
Angola,20200408,71.43
Angola,20200409,71.43
Angola,20200410,71.43
Angola,20200411,71.43
Angola,20200412,71.43
Angola,20200413,71.43
Angola,20200414,71.43
Angola,20200415,71.43
Angola,20200416,71.43
Angola,20200417,
Angola,20200418,71.43
Angola,20200419,71.43
Angola,20200420,71.43
Angola,20200421,71.43
Angola,20200422,71.43
Angola,20200423,71.43
Angola,20200424,71.43
Albania,20200101,0.0
Albania,20200102,0.0
Albania,20200103,0.0
Albania,20200104,0.0
Albania,20200105,0.0
Albania,20200106,0.0
Albania,20200107,0.0
Albania,20200108,0.0
Albania,20200109,0.0
Albania,20200110,0.0
Albania,20200111,0.0
Albania,20200112,0.0
Albania,20200113,0.0
Albania,20200114,0.0
Albania,20200115,0.0
Albania,20200116,0.0
Albania,20200117,0.0
Albania,20200118,0.0
Albania,20200119,0.0
Albania,20200120,0.0
Albania,20200121,0.0
Albania,20200122,0.0
Albania,20200123,0.0
Albania,20200124,0.0
Albania,20200125,0.0
Albania,20200126,0.0
Albania,20200127,0.0
Albania,20200128,0.0
Albania,20200129,0.0
Albania,20200130,0.0
Albania,20200131,0.0
Albania,20200201,0.0
Albania,20200202,0.0
Albania,20200203,0.0
Albania,20200204,0.0
Albania,20200205,0.0
Albania,20200206,0.0
Albania,20200207,0.0
Albania,20200208,0.0
Albania,20200209,0.0
Albania,20200210,0.0
Albania,20200211,0.0
Albania,20200212,0.0
Albania,20200213,0.0
Albania,20200214,0.0
Albania,20200215,0.0
Albania,20200216,0.0
Albania,20200217,0.0
Albania,20200218,0.0
Albania,20200219,0.0
Albania,20200220,0.0
Albania,20200221,0.0
Albania,20200222,0.0
Albania,20200223,0.0
Albania,20200224,0.0
Albania,20200225,4.76
Albania,20200226,4.76
Albania,20200227,4.76
Albania,20200228,4.76
Albania,20200229,4.76
Albania,20200301,4.76
Albania,20200302,4.76
Albania,20200303,4.76
Albania,20200304,4.76
Albania,20200305,4.76
Albania,20200306,4.76
Albania,20200307,4.76
Albania,20200308,4.76
Albania,20200309,52.38
Albania,20200310,52.38
Albania,20200311,66.67
Albania,20200312,85.71
Albania,20200313,85.71
Albania,20200314,85.71
Albania,20200315,85.71
Albania,20200316,85.71
Albania,20200317,85.71
Albania,20200318,85.71
Albania,20200319,85.71
Albania,20200320,85.71
Albania,20200321,85.71
Albania,20200322,85.71
Albania,20200323,85.71
Albania,20200324,85.71
Albania,20200325,85.71
Albania,20200326,85.71
